step,system_total_stopped,system_total_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
235.0,37,3562.0,0.5211549721093791,7,648.0,0.053597837007303285,12,1386.0,0.00025249161653341105,8,651.0,0.0020521888290768843,10,1165.0,0.02232720498094146,37,3850.0
240.0,37,3731.0,0.22596052007162284,7,683.0,0.0016719881005773018,11,1425.0,6.34078066454262e-07,9,696.0,0.004437926930947978,10,1215.0,0.03787477182288082,37,4019.0
245.0,38,3921.0,0.3568468298568063,8,723.0,9.879870861503143e-07,11,1480.0,0.0,9,742.0,0.027515180710887065,10,1265.0,0.0,38,4210.0
250.0,37,3975.0,0.6437742025681938,8,763.0,0.0,12,1535.0,0.0,7,710.0,0.13329571884538274,10,1315.0,0.0,37,4323.0
255.0,35,4115.0,0.8491176993945917,8,803.0,0.0,11,1590.0,0.013447211616015378,6,684.0,0.1431977428932123,10,1368.0,0.02245429519352833,35,4445.0
260.0,36,4291.0,0.7037955651053711,8,843.0,0.0060245875353101,11,1645.0,0.02948917475165485,7,715.0,0.0481712464193588,10,1418.0,0.07014320667874861,36,4621.0
265.0,39,4480.0,0.6984997559232586,8,883.0,0.030831352590921336,11,1700.0,0.03010553176348879,9,758.0,0.010863216311212325,11,1469.0,0.05209558991744577,39,4810.0
270.0,41,4680.0,0.9769218359852984,8,923.0,0.06481286144731813,12,1761.0,0.06400265637133827,9,803.0,0.0329595679917933,12,1521.0,0.03771616467339403,41,5008.0
275.0,42,4882.0,0.9870315939952443,8,963.0,0.04375894001559261,12,1821.0,0.046869592245462686,9,848.0,0.023984385326483018,13,1578.0,0.012813831209591247,42,5210.0
280.0,43,5097.0,0.9414629620995396,8,1003.0,0.06339259057954141,13,1885.0,0.02131326145739134,10,898.0,0.03975617513262377,12,1638.0,0.038341239582543214,43,5424.0
285.0,46,5317.0,0.6361310504180853,8,1043.0,0.0,14,1954.0,0.02110487600042215,11,948.0,0.000983590117025045,13,1699.0,0.02559837949213498,46,5644.0
290.0,47,5550.0,0.1473144158099301,8,1083.0,0.0,15,2027.0,0.012745082554929274,11,1003.0,0.01784347998573009,13,1764.0,0.0010575295207306927,47,5877.0
295.0,49,5790.0,0.3103654803836929,8,1123.0,0.0,15,2102.0,0.023866346204819863,11,1058.0,0.04509818568029127,15,1834.0,5.810894883055511e-07,49,6117.0
300.0,46,5411.0,0.4503246421553966,8,1163.0,0.010462209993518608,15,2177.0,0.03484395095334351,9,610.0,0.04024418480418199,14,1904.0,0.013776531454173475,46,5854.0
305.0,42,5307.0,0.8549558493310261,8,1203.0,0.031063263661777547,15,2252.0,0.0,5,528.0,0.1280370793519231,14,1974.0,0.02754497309594339,42,5957.0
310.0,46,5511.0,0.6883688667089166,9,1243.0,0.04577306475173,15,2327.0,0.0,7,554.0,0.04998745112230288,15,2049.0,0.047435816344183125,46,6173.0
315.0,52,5751.0,0.5098782460209093,9,1286.0,0.024361785925826152,16,2402.0,0.0,11,599.0,0.007673702699994373,16,2126.0,0.04576776763850857,52,6413.0
320.0,51,6006.0,0.6225278490445505,9,1331.0,0.05421909702377099,15,2477.0,0.010369125686669147,11,654.0,0.02218368650591945,16,2206.0,0.028238853383097492,51,6668.0
325.0,52,6264.0,0.6628162096627447,9,1376.0,0.057558232704809316,15,2552.0,0.029592704668326784,11,709.0,0.037671092338413086,17,2289.0,3.226580133224353e-05,52,6926.0
330.0,53,6528.0,0.3517406620560301,10,1425.0,0.02635149998069153,15,2627.0,0.050085969572651594,11,764.0,0.008522527991284048,17,2374.0,0.0,53,7190.0
335.0,55,6798.0,0.2888976348169664,10,1475.0,0.03982017368660512,15,2702.0,0.012674516503582377,13,824.0,0.021312382758670628,17,2459.0,0.0021579734149741498,55,7460.0
340.0,55,7072.0,0.5541733071958868,10,1525.0,0.05752124179671296,16,2781.0,0.013011083111168007,12,884.0,0.05029355894058447,17,2545.0,0.024728254356260325,55,7735.0
345.0,52,5938.0,0.4970731192170683,11,1577.0,0.0034260729933869184,17,2861.0,0.024756741650992748,13,947.0,0.02681086939264251,11,1819.0,0.04854154470502991,52,7204.0
350.0,44,5057.0,0.9774243332141879,11,1635.0,0.04019517406351319,17,2945.0,0.022238996354920926,13,1012.0,0.02624869617156888,3,1243.0,0.09817401258344996,44,6835.0
355.0,43,4593.0,1.3161736153413093,8,1146.0,0.11263844116761365,17,3030.0,0.04075432009715265,14,1084.0,0.06971272611342663,4,1253.0,0.08550134676193807,43,6513.0
360.0,52,4834.0,1.1778516604642242,9,1178.0,0.09936782293923813,18,3118.0,0.03936054436756097,14,1154.0,0.10438724024107232,11,1293.0,0.013127447510969234,52,6743.0
365.0,51,4162.0,1.0209399629206553,5,612.0,0.07551207419313481,18,3208.0,0.0504766315015487,15,1222.0,0.0001597461523403611,13,1360.0,0.07275324522960464,51,6402.0
370.0,49,4125.0,1.5930811317294378,2,290.0,0.165732586134043,19,3301.0,0.0684072815175226,15,1297.0,0.0062403552042544965,13,1425.0,0.07078406592483613,49,6313.0
375.0,53,4367.0,1.0590850133241057,5,257.0,0.12007099330907516,19,3392.0,0.008258428748362821,15,1372.0,0.017627420478408797,14,1495.0,0.06778636555501534,53,6516.0
380.0,55,4639.0,1.4182948307577845,6,285.0,0.10436368012357043,20,3491.0,0.029884880532570112,15,1447.0,0.02224263140366933,14,1565.0,0.08754740819219502,55,6788.0
385.0,58,4899.0,0.8577507038018963,5,299.0,0.005266121744997413,21,3595.0,0.026062467684700774,16,1525.0,0.005433255157615253,16,1639.0,0.00013558495680682654,58,7058.0
390.0,60,5182.0,0.9131713736966326,4,319.0,0.048555283751874616,23,3702.0,0.0,17,1605.0,0.019630372899179693,16,1722.0,0.013419214846831385,60,7348.0
395.0,60,5479.0,0.5058158288188106,6,346.0,0.06554598032238412,22,3812.0,0.006169654403793923,16,1685.0,0.02742197593002318,16,1802.0,0.022574374533077847,60,7645.0
400.0,63,5786.0,0.3911293399261395,6,376.0,0.11496808188522356,22,3922.0,0.012671305194593491,18,1771.0,0.019125313541272917,17,1883.0,4.755062525509812e-05,63,7952.0
405.0,66,6103.0,0.25343570274196703,8,407.0,0.05754138720406185,22,4032.0,0.02262528010542929,19,1862.0,0.00020851717319382467,17,1968.0,0.0,66,8269.0
410.0,67,6431.0,0.2602802544801446,8,445.0,0.02259928348563086,22,4142.0,0.011374640025668762,20,1957.0,0.03135237253925047,17,2053.0,0.0,67,8597.0
415.0,66,6761.0,0.3078188890756044,8,485.0,0.04311694925059868,22,4252.0,0.019337310647841676,19,2052.0,0.0243589500082381,17,2138.0,0.0,66,8927.0
420.0,66,7046.0,0.3850469354433603,7,476.0,0.06742211511914321,22,4362.0,0.0,20,2151.0,0.02179356055204114,17,2223.0,0.0,66,9212.0
425.0,68,7382.0,0.27868534787229904,8,513.0,6.5952013205657e-05,22,4472.0,0.006594194849106627,21,2255.0,0.04022845490938463,17,2308.0,0.0,68,9548.0
430.0,67,7608.0,0.21593297235160613,5,312.0,0.01198584931173435,22,4582.0,0.013776151980291522,23,2366.0,5.675782892313053e-05,17,2396.0,0.021897193276214928,67,9656.0
435.0,63,7490.0,0.5418981264614103,4,223.0,0.07290896338294857,22,4692.0,0.020949700481210067,20,2234.0,0.0007689436497275472,17,2481.0,0.031078199404754578,63,9630.0
440.0,61,7499.0,0.7448774033272818,5,246.0,0.12905371170108143,22,4802.0,0.0,16,2173.0,0.015885114444128667,18,2574.0,0.06179968818893313,61,9795.0
445.0,61,7718.0,0.9770682624571485,6,271.0,0.09067076447349158,22,4912.0,0.006709475014029865,14,2243.0,0.0377069695118536,19,2668.0,0.07818170554511425,61,10094.0
