step,system_total_stopped,system_total_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
370.0,18,577.0,2.2708761054910664,18,578.0,0.06720892984685992,18,578.0
375.0,13,444.0,2.2753670068519076,13,542.0,0.09898892442641011,13,542.0
380.0,9,202.0,2.029657161416924,9,493.0,0.10257049680440936,9,493.0
385.0,3,31.0,2.3926166293443005,3,508.0,0.10606811163166785,3,508.0
390.0,8,28.0,2.8415427780276703,8,527.0,0.09874753139867293,8,527.0
395.0,14,87.0,2.5136885021965716,14,586.0,0.10015692036589474,14,586.0
400.0,17,164.0,3.3263870952761163,17,663.0,0.08611294856362411,17,663.0
405.0,15,175.0,2.945572899682092,15,622.0,0.08073548312061599,15,622.0
410.0,10,83.0,2.188683274526137,10,555.0,0.09935787271478126,10,555.0
415.0,9,77.0,2.796626700751473,9,478.0,0.11213450544978631,9,478.0
420.0,10,84.0,4.22337176229989,10,380.0,0.15657641950504508,10,380.0
425.0,11,125.0,4.4616980279942435,11,301.0,0.15468127048625782,11,301.0
430.0,13,181.0,4.2403213549337675,13,215.0,0.14272591777835325,13,215.0
435.0,15,248.0,3.0541108537304544,15,250.0,0.10666569754010637,15,250.0
440.0,18,327.0,2.6743046019925867,18,328.0,0.0778244403654362,18,328.0
445.0,21,420.0,2.4145454157121122,21,421.0,0.06539469760278764,21,421.0
450.0,24,530.0,2.050967124138307,24,531.0,0.06945889908104233,24,531.0
455.0,20,451.0,1.6919050400846811,20,546.0,0.06685767564686058,20,546.0
460.0,14,209.0,1.8930169927025713,14,533.0,0.07904448641753252,14,533.0
465.0,7,61.0,2.9742962409107263,7,457.0,0.12509294090561082,7,457.0
470.0,7,60.0,4.542352331812949,7,348.0,0.1702912455815649,7,348.0
475.0,8,99.0,5.1534154773821665,8,277.0,0.1868543218820813,8,277.0
480.0,10,143.0,5.429970564604901,10,211.0,0.17793584186319072,10,211.0
485.0,8,84.0,3.741841331868433,8,182.0,0.10766612005371816,8,182.0
490.0,5,25.0,3.178315615723052,5,166.0,0.11603348575069225,5,166.0
495.0,4,16.0,2.6679539302038657,4,140.0,0.11262297804185939,4,140.0
500.0,6,28.0,3.4607541051274597,6,133.0,0.12185379303084269,6,133.0
505.0,8,63.0,3.337796441978985,8,155.0,0.14766319103541942,8,155.0
510.0,7,98.0,5.0037469846353915,7,189.0,0.187169320619919,7,189.0
515.0,9,136.0,5.094294440412934,9,227.0,0.13632412020074833,9,227.0
