step,system_total_stopped,system_total_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
220.0,22,398.0,1.9865033416133533,22,398.0,0.08242980968443123,22,398.0
225.0,24,509.0,1.2754772849430993,24,509.0,0.055329193282029614,24,509.0
230.0,17,227.0,1.088856568149795,17,515.0,0.0592601487929355,17,515.0
235.0,9,94.0,2.3009085495200723,9,413.0,0.10300127870736508,9,413.0
240.0,6,49.0,3.8873045394934524,6,376.0,0.1693325080765441,6,376.0
245.0,7,79.0,4.703845033958466,7,269.0,0.17502602890651275,7,269.0
250.0,8,119.0,5.0246745155623245,8,208.0,0.18114552816191212,8,208.0
255.0,11,166.0,4.822503679918834,11,193.0,0.152332686655258,11,193.0
260.0,12,224.0,4.491068716525563,12,224.0,0.09124134662015299,12,224.0
265.0,14,289.0,3.4888365589749983,14,289.0,0.0953176188920479,14,289.0
270.0,17,361.0,2.065641852878831,17,361.0,0.07379381799537867,17,361.0
275.0,10,107.0,1.5969414693752697,10,330.0,0.08868157671975832,10,330.0
280.0,8,61.0,2.414994070978406,8,226.0,0.10030187857687833,8,226.0
285.0,6,50.0,3.913851848025359,6,175.0,0.1421233962548179,6,175.0
290.0,10,85.0,4.349987912528201,10,185.0,0.15139923545312,10,185.0
295.0,12,133.0,3.991512318028258,12,171.0,0.1509007389800307,12,171.0
300.0,13,194.0,3.5187777629638664,13,204.0,0.11451243181245928,13,204.0
305.0,15,266.0,3.126381989945791,15,266.0,0.07774281990051553,15,266.0
310.0,18,349.0,2.0209969488005792,18,349.0,0.06206175814567608,18,349.0
315.0,21,448.0,1.0778562433219432,21,448.0,0.04820937935521072,21,448.0
320.0,17,222.0,1.1783889060316746,17,455.0,0.04756933796806952,17,455.0
325.0,9,88.0,2.174325552138516,9,371.0,0.0926305604163073,9,371.0
330.0,5,43.0,4.049392729322096,5,281.0,0.16080235657160755,5,281.0
335.0,7,71.0,5.080383034022294,7,239.0,0.1883297832976732,7,239.0
340.0,8,107.0,5.185414642938808,8,197.0,0.19843644253735543,8,197.0
345.0,9,149.0,5.045197931164253,9,161.0,0.14131631626125812,9,161.0
350.0,11,194.0,4.4882678920526144,11,194.0,0.13050744734991993,11,194.0
355.0,11,242.0,3.9239854829276672,11,242.0,0.10426501062215078,11,242.0
360.0,11,292.0,3.2541546605529206,11,292.0,0.12907233566381676,11,292.0
365.0,6,20.0,2.546025200723054,6,232.0,0.12954360731529055,6,232.0
370.0,6,19.0,3.112535463761485,6,119.0,0.15088777087880456,6,119.0
375.0,6,40.0,4.399253037722554,6,42.0,0.1771398353537836,6,42.0
380.0,7,71.0,5.108447787014827,7,71.0,0.18519566925984987,7,71.0
385.0,10,116.0,4.394157397372061,10,116.0,0.14839113753236038,10,116.0
390.0,13,171.0,3.5801924790727964,13,171.0,0.10763154643022611,13,171.0
395.0,15,240.0,2.410153130274024,15,240.0,0.08309834988990546,15,240.0
400.0,18,321.0,1.5582765246508588,18,321.0,0.02383248074349685,18,321.0
405.0,22,416.0,1.0478096592675303,22,416.0,0.018983020191184106,22,416.0
410.0,13,160.0,0.896052110550024,13,411.0,0.04283602204763129,13,411.0
415.0,5,42.0,2.442265227169174,5,315.0,0.1011705319191985,5,315.0
420.0,1,2.0,4.4188915297002485,1,241.0,0.1801114045987355,1,241.0
425.0,1,7.0,6.0198929231893406,1,153.0,0.256044950420226,1,153.0
430.0,2,15.0,6.464674533488705,2,77.0,0.2657213029265655,2,77.0
435.0,5,31.0,5.9084717126392645,5,48.0,0.21357613701024541,5,48.0
440.0,7,56.0,5.121341066958891,7,56.0,0.16460051621537802,7,56.0
445.0,7,88.0,4.6670445496549195,7,88.0,0.1476018396526619,7,88.0
450.0,10,130.0,2.6603171511501427,10,130.0,0.10918095675235089,10,130.0
455.0,5,20.0,2.0097976584352515,5,106.0,0.11463023149979336,5,106.0
460.0,5,29.0,3.361939551395496,5,63.0,0.15668550821495456,5,63.0
465.0,6,51.0,4.623156914636712,6,62.0,0.1754787208918015,6,62.0
470.0,8,81.0,4.994599963737255,8,81.0,0.13308548627108882,8,81.0
475.0,9,122.0,3.7763862525616463,9,122.0,0.09299889419803456,9,122.0
480.0,12,176.0,1.9842112826809508,12,176.0,0.07294750289318447,12,176.0
485.0,15,243.0,1.2463153236917708,15,243.0,0.07476396662818059,15,243.0
490.0,17,323.0,1.320770372408851,17,323.0,0.052816202849013894,17,323.0
495.0,21,418.0,0.9563330940646787,21,418.0,0.03267998962249754,21,418.0
500.0,14,160.0,0.6503938841666879,14,411.0,0.026531392625501447,14,411.0
505.0,7,63.0,2.082773437602009,7,315.0,0.0763121264660899,7,315.0
510.0,1,13.0,4.505661467516689,1,248.0,0.19068271179688115,1,248.0
515.0,2,18.0,6.329264451720521,2,166.0,0.27457784432890264,2,166.0
520.0,2,26.0,5.903278961354269,2,89.0,0.2368188443305621,2,89.0
525.0,4,44.0,6.418415982848408,4,55.0,0.20860129796529384,4,55.0
530.0,5,64.0,5.739135318870556,5,64.0,0.19754414348307164,5,64.0
535.0,6,88.0,4.6825508897334895,6,88.0,0.14492186373285004,6,88.0
540.0,6,118.0,4.379680333039395,6,118.0,0.17541538004877774,6,118.0
545.0,1,3.0,3.465913509697901,1,63.0,0.17722678846868792,1,63.0
550.0,3,16.0,4.19842499089866,3,18.0,0.2242446820104074,3,18.0
555.0,5,36.0,4.769267661999689,5,36.0,0.18905746045638586,5,36.0
560.0,7,65.0,5.02399010669345,7,65.0,0.16045967744839723,7,65.0
565.0,9,107.0,3.2477125873305446,9,107.0,0.12152576965732492,9,107.0
570.0,12,162.0,2.4574117082832703,12,162.0,0.09884627361172252,12,162.0
575.0,14,230.0,2.121175250372764,14,230.0,0.07595558789533545,14,230.0
580.0,18,310.0,1.4952115610281707,18,310.0,0.042522722233532,18,310.0
585.0,20,405.0,0.848364146452693,20,405.0,0.028916809394170233,20,405.0
590.0,14,166.0,0.9459655651412922,14,409.0,0.04643827463124854,14,409.0
595.0,6,52.0,2.479968516778935,6,321.0,0.1063576403018087,6,321.0
600.0,2,18.0,4.48775385570435,2,257.0,0.18878824673554878,2,257.0
605.0,3,30.0,5.739824469997767,3,178.0,0.2390192200849648,3,178.0
610.0,4,47.0,5.739737744306944,4,109.0,0.20392968641041218,4,109.0
615.0,5,72.0,6.025505882276362,5,84.0,0.17424575597672579,5,84.0
620.0,7,97.0,5.397438097129916,7,97.0,0.20345361784664281,7,97.0
625.0,6,124.0,5.029652366563909,6,124.0,0.18126995776588284,6,124.0
630.0,7,156.0,4.180999207716521,7,156.0,0.13121668136756148,7,156.0
635.0,4,21.0,3.287179927137372,4,107.0,0.1700415636348996,4,107.0
640.0,5,13.0,3.136977890674048,5,58.0,0.15625077336637216,5,58.0
645.0,7,31.0,4.070902369432718,7,53.0,0.18140354128472067,7,53.0
650.0,7,58.0,4.399279837528009,7,60.0,0.15524558514302086,7,60.0
655.0,10,98.0,3.808297114198095,10,98.0,0.12536457561583625,10,98.0
660.0,11,148.0,3.232133681118267,11,148.0,0.1014776109006769,11,148.0
665.0,14,211.0,2.4021334622280928,14,211.0,0.08797088117274823,14,211.0
670.0,16,286.0,1.8820399579716414,16,286.0,0.06413453883898583,16,286.0
675.0,18,374.0,0.887929095463843,18,374.0,0.03033521742909318,18,374.0
680.0,14,160.0,1.02637748221692,14,374.0,0.05447314012790261,14,374.0
685.0,8,52.0,2.1201548606843015,8,292.0,0.08560142017536554,8,292.0
690.0,3,23.0,3.961373146904236,3,261.0,0.16520312436254073,3,261.0
695.0,3,38.0,5.781642851337999,3,185.0,0.24259188130793477,3,185.0
700.0,6,61.0,5.884127699165503,6,127.0,0.21635347453412868,6,127.0
705.0,7,91.0,5.449282208104479,7,104.0,0.14445030435780332,7,104.0
710.0,7,121.0,4.787455172118812,7,121.0,0.14939855123070972,7,121.0
715.0,6,151.0,4.855531083519661,6,151.0,0.1713720939374106,6,151.0
720.0,7,184.0,3.4407293781732777,7,184.0,0.1491575186580027,7,184.0
725.0,4,13.0,2.505177857210466,4,127.0,0.14747071464276637,4,127.0
730.0,6,29.0,3.2548224593141457,6,65.0,0.1491585824404953,6,65.0
735.0,8,58.0,3.961210966469436,8,63.0,0.13263297360918866,8,63.0
740.0,10,96.0,4.429398420529428,10,97.0,0.11943316769265477,10,97.0
745.0,12,146.0,3.0410968242090917,12,147.0,0.09038972609094661,12,147.0
750.0,14,208.0,2.236706194883437,14,209.0,0.055739021874196236,14,209.0
755.0,15,280.0,1.048529037072641,15,281.0,0.037895274366844076,15,281.0
760.0,18,365.0,0.7449765727214029,18,366.0,0.044689656431997765,18,366.0
