step,system_total_stopped,system_total_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,2.075590808410197,0,0.0,0.12451054639533277,0,0.0
10.0,0,0.0,3.5521294441074125,0,0.0,0.21308514961652145,0,0.0
15.0,0,0.0,5.3581184869748535,0,0.0,0.3214228246535605,0,0.0
20.0,3,3.0,3.93944286330413,3,3.0,0.23631930793666053,3,3.0
25.0,6,19.0,2.1969384926842275,6,19.0,0.1317899515707395,6,19.0
30.0,7,50.0,2.1401239708667292,7,50.0,0.12838176189962378,7,50.0
35.0,9,94.0,2.272965782594449,9,94.0,0.13635067682030286,9,94.0
40.0,13,150.0,1.5084778443505484,13,150.0,0.0904905725465236,13,150.0
45.0,16,225.0,1.0649650911612911,16,226.0,0.06388512844398866,16,226.0
50.0,19,316.0,0.8392234681181882,19,318.0,0.03631067364542401,19,318.0
55.0,22,419.0,1.0914262439085791,22,421.0,0.047304317789372004,22,421.0
60.0,25,538.0,0.8523982004044756,25,540.0,0.05113366529121028,25,540.0
65.0,28,675.0,0.9198265934634963,28,677.0,0.04040730506880847,28,677.0
70.0,31,828.0,1.0076651988315475,31,830.0,0.04198571831656587,31,830.0
75.0,32,978.0,0.7239738166779737,32,981.0,0.03202495632214392,32,981.0
80.0,32,1138.0,1.0589958297882227,32,1141.0,0.03134333887737279,32,1141.0
85.0,34,1302.0,0.7706641146484168,34,1305.0,0.02714576860210965,34,1305.0
90.0,35,1475.0,0.5345420890906999,35,1478.0,0.03206611212301739,35,1478.0
95.0,35,1650.0,0.5630548775900969,35,1653.0,0.02245583665966432,35,1653.0
100.0,36,1829.0,0.68780810164112,36,1832.0,0.014525072099918011,36,1832.0
105.0,37,2012.0,0.5550007962383955,37,2015.0,0.018214512506070493,37,2015.0
110.0,37,2197.0,0.6067351206807766,37,2200.0,0.036396827875271535,37,2200.0
115.0,37,2382.0,0.9144173844080307,37,2385.0,0.03263331912771726,37,2385.0
120.0,37,2567.0,1.1730478725631361,37,2570.0,0.02067404499480689,37,2570.0
125.0,37,2752.0,1.1192944619128435,37,2755.0,0.01369759195543,37,2755.0
130.0,37,2937.0,0.5616809554455899,37,2940.0,0.0034723156541431907,37,2940.0
135.0,37,3122.0,0.42218996189339836,37,3125.0,0.010626827429830798,37,3125.0
140.0,35,3147.0,0.34707743319611156,35,3207.0,0.020208399414492484,35,3207.0
145.0,34,3264.0,0.45767576066925625,34,3320.0,0.016599576697062315,34,3320.0
150.0,35,3436.0,0.3822151758568194,35,3492.0,0.0008447593415932858,35,3492.0
155.0,35,3611.0,0.6902966895242364,35,3667.0,0.0,35,3667.0
160.0,35,3786.0,0.396794081778407,35,3842.0,0.002075927459143759,35,3842.0
165.0,36,3961.0,0.592938524175535,36,4017.0,0.006892534044310258,36,4017.0
170.0,36,4137.0,0.06790845770939466,36,4193.0,0.0040736927240188755,36,4193.0
175.0,36,4317.0,0.16020928598992962,36,4373.0,0.009610635032389297,36,4373.0
180.0,32,3897.0,0.35263975855300955,32,4246.0,0.019275251222012638,32,4246.0
185.0,27,3437.0,0.8019520409057832,27,4095.0,0.026596096187064225,27,4095.0
190.0,27,3546.0,1.2485123030321292,27,4220.0,0.035167371076787905,27,4220.0
195.0,31,3699.0,1.4442113474108786,31,4373.0,0.012236929539433401,31,4373.0
200.0,32,3859.0,0.8350092510608477,32,4533.0,0.025413041413381306,32,4533.0
205.0,32,4019.0,0.9420733967872322,32,4694.0,0.02453681353059995,32,4694.0
210.0,32,4179.0,0.9034302688120615,32,4854.0,0.037788381922286764,32,4854.0
215.0,33,4344.0,0.851657289404534,33,5019.0,0.037748719795353394,33,5019.0
220.0,36,4517.0,1.0312840486133246,36,5192.0,0.03625234176741632,36,5192.0
225.0,37,4695.0,0.9267944736227891,37,5372.0,0.02901143675478306,37,5372.0
230.0,38,4878.0,0.8314350367550339,38,5555.0,0.025019610489843865,38,5555.0
235.0,38,5067.0,0.9736681067538865,38,5745.0,0.021744339165399102,38,5745.0
240.0,40,5260.0,0.7627255238042531,40,5938.0,0.030498374866661924,40,5938.0
245.0,40,5458.0,0.5912962524440581,40,6136.0,0.020113575830775627,40,6136.0
250.0,40,5658.0,0.7818869566714142,40,6336.0,0.01980062812081665,40,6336.0
255.0,36,5595.0,0.8464000140967114,36,6174.0,0.037199599757726985,36,6174.0
260.0,32,5472.0,0.9167680253044737,32,6023.0,0.03742327507224952,32,6023.0
265.0,28,5450.0,1.1487538519749854,28,6161.0,0.03446385780753425,28,6161.0
270.0,31,5571.0,1.5677069333459464,31,6310.0,0.0328498988202574,31,6310.0
275.0,36,5740.0,0.7318624772738058,36,6479.0,0.014292000906597851,36,6479.0
280.0,39,5929.0,0.8637573310229149,39,6668.0,0.012272315589793335,39,6668.0
285.0,40,6125.0,0.2649492177782324,40,6864.0,0.015893774311831574,40,6864.0
290.0,41,6327.0,0.2792119989524483,41,7066.0,0.016749370063134268,41,7066.0
295.0,42,6536.0,0.2130965368670606,42,7275.0,0.012783235564910652,42,7275.0
300.0,42,6746.0,0.299441785117696,42,7485.0,0.0017975222809341487,42,7485.0
305.0,38,6793.0,0.19845637976388436,38,7412.0,0.009347345010661458,38,7412.0
310.0,33,6717.0,0.6336451245863742,33,7344.0,0.020458039505321875,33,7344.0
315.0,26,6669.0,1.0255133919823907,26,7445.0,0.021516887077628423,26,7445.0
320.0,28,6804.0,1.6315043221526728,28,7545.0,0.03276733252912514,28,7545.0
