step,system_total_stopped,system_total_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,1.6773615141088765,0,0.0,0.10062156653322592,0,0.0
10.0,0,0.0,3.1860977667904944,0,0.0,0.19112764047933375,0,0.0
15.0,0,0.0,4.780350318194333,0,0.0,0.2867636663583883,0,0.0
20.0,2,1.0,4.698952946610827,2,2.0,0.2459463951445778,2,2.0
25.0,5,9.0,3.9409718022373803,5,11.0,0.16525015124877254,5,11.0
30.0,6,30.0,3.3685025644581468,6,32.0,0.16969487219226895,6,32.0
35.0,8,61.0,2.3291256223492027,8,63.0,0.14496082823161704,8,63.0
40.0,10,103.0,1.9975637155299155,10,105.0,0.10046113896400292,10,105.0
45.0,14,161.0,2.0015238680665486,14,163.0,0.07502202578864846,14,163.0
50.0,16,231.0,1.8706809596878313,16,233.0,0.0514445998465308,16,233.0
55.0,19,315.0,1.196224449513494,19,317.0,0.0473978637827411,19,317.0
60.0,22,413.0,1.0493023307132667,22,415.0,0.06294555073264947,22,415.0
65.0,23,524.0,1.3062192689656944,23,526.0,0.060793106988267884,23,526.0
70.0,24,644.0,1.7119829048154689,24,646.0,0.04576908542316436,24,646.0
75.0,24,764.0,1.7153211660186112,24,766.0,0.01910504533886355,24,766.0
80.0,24,884.0,1.3364267656413884,24,886.0,0.03682191504761499,24,886.0
85.0,24,1004.0,0.9570368735617065,24,1006.0,0.03523347255067701,24,1006.0
90.0,24,1124.0,1.0594639565329795,24,1126.0,0.04290903873241638,24,1126.0
95.0,24,1244.0,1.4350402397408781,24,1246.0,0.045826498522566754,24,1246.0
100.0,21,1057.0,0.935476935564172,21,1208.0,0.03377947677872562,21,1208.0
105.0,14,556.0,1.26965653696769,14,1145.0,0.05680939499474756,14,1145.0
110.0,6,146.0,2.4830281676176846,6,1174.0,0.12066297966440584,6,1174.0
115.0,11,37.0,2.9647383744522107,11,1201.0,0.10994168355380128,11,1201.0
120.0,19,107.0,1.9905392593678743,19,1271.0,0.051048415526633986,19,1271.0
125.0,22,205.0,2.407327275844584,22,1369.0,0.02733040957179516,22,1369.0
130.0,24,319.0,1.7245236160446742,24,1483.0,0.004731964190249802,24,1483.0
135.0,24,439.0,0.9703707203850283,24,1603.0,0.012788493567515886,24,1603.0
140.0,24,559.0,0.42211410199412625,24,1723.0,0.025321781763294915,24,1723.0
145.0,20,535.0,0.40206197731974885,20,1626.0,0.021023349563406433,20,1626.0
