step,system_total_stopped,system_total_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
175.0,2,25.0,2.873667172868093,0,0.0,0.07997562289774311,0,0.0,1.0,0,3.0,0.5664309994253341,2,28.0,0.001517674263043929,2,31.0
180.0,2,35.0,3.3973654786168583,0,0.0,0.27113232002931587,0,0.0,1.0,0,0.0,1.0,2,41.0,0.13820760333648002,2,41.0
185.0,2,45.0,5.389001402928479,0,3.0,0.4213408273787209,0,0.0,1.0,0,0.0,1.0,2,51.0,0.19395163698411302,2,54.0
190.0,2,55.0,5.260843615486645,0,3.0,0.3699919250181434,0,0.0,1.0,0,0.0,1.0,2,58.0,0.0,2,61.0
195.0,4,72.0,3.7357093807011323,2,10.0,0.0004221681702677485,0,0.0,1.0,0,0.0,1.0,2,68.0,0.0,4,78.0
200.0,2,75.0,0.6126910531893373,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,78.0,0.0,2,78.0
205.0,0,0.0,2.351799231043171,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,30.0,0.02656123741622992,0,30.0
210.0,0,0.0,4.972400161925365,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,3.0,0.40120512275578346,0,3.0
215.0,0,0.0,7.743990672681144,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,3.0,0.5589069212810878,0,3.0
220.0,1,2.0,6.337116583191516,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,5.0,0.0011688290562534885,1,5.0
225.0,1,7.0,0.24308425579220058,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,10.0,0.014582138919748083,1,10.0
230.0,1,12.0,1.6659973822844527,0,0.0,1.0,0,0.0,0.0648823364771317,0,0.0,1.0,1,15.0,0.11746861421054504,1,15.0
235.0,1,17.0,3.6820068986775976,0,0.0,1.0,0,0.0,0.23856720429564138,0,0.0,1.0,1,20.0,0.21203075586156117,1,20.0
240.0,1,22.0,5.617074816239378,0,0.0,1.0,0,0.0,0.424226755840591,0,0.0,1.0,1,25.0,0.0,1,25.0
245.0,1,27.0,4.391606724348152,0,0.0,1.0,0,0.0,0.2560197118201009,0,0.0,0.7428078364131692,1,30.0,0.02747365531925588,1,30.0
250.0,2,36.0,1.0553171471430682,0,0.0,1.0,1,4.0,0.0,0,0.0,0.029744897835961074,1,35.0,0.11174028619216562,2,39.0
255.0,3,50.0,1.6449558665277433,0,0.0,1.0,1,9.0,0.0,1,4.0,0.0,1,40.0,0.19735523293674181,3,53.0
260.0,3,65.0,2.42374419644475,0,0.0,1.0,1,14.0,0.0,1,9.0,0.0,1,45.0,0.2907911453443011,3,68.0
265.0,2,33.0,2.0425082193254878,0,0.0,0.5303590273329972,1,19.0,0.0,1,14.0,0.05016342840881687,0,0.0,1.0,2,33.0
270.0,2,43.0,3.334812576448271,0,0.0,0.5767339460803655,1,24.0,0.0,1,19.0,0.14555967942688391,0,0.0,1.0,2,43.0
275.0,3,27.0,3.427941991583916,1,3.0,8.93316317293535e-06,0,0.0,1.0,1,24.0,0.28201082588974347,1,0.0,0.0,3,27.0
280.0,2,37.0,4.673648088849965,1,8.0,0.0,0,0.0,1.0,1,29.0,0.211600345082658,0,0.0,0.18344351278766582,2,37.0
285.0,3,52.0,4.4053727181249105,1,16.0,0.21767149892220547,0,0.0,0.6698853231598877,2,39.0,0.12606431888900538,0,0.0,0.36646528662828765,3,55.0
290.0,3,58.0,3.0627391432680886,1,21.0,0.3028907313977549,1,1.0,0.00026818843771409353,1,39.0,0.0,0,0.0,0.5371038727719284,3,61.0
295.0,5,78.0,1.1508357180009756,2,29.0,3.426885309457999e-05,1,6.0,0.0,1,44.0,0.0,1,2.0,0.0005289411969629108,5,81.0
300.0,4,95.0,2.1899755861716867,1,28.0,0.0,1,11.0,0.0,1,49.0,0.0,1,10.0,0.2835563417569575,4,98.0
305.0,3,103.0,3.4204996939492647,1,33.0,0.0,1,16.0,0.06739344373825842,1,54.0,0.0,0,3.0,0.6030525134236177,3,106.0
310.0,4,121.0,2.979133214217326,1,38.0,0.22415329440105228,1,21.0,0.15488657359833854,1,59.0,0.0,1,6.0,0.2216731230705185,4,124.0
315.0,5,141.0,3.6653762752728,1,43.0,0.30982696205913923,1,26.0,0.24406653482256863,1,67.0,0.1709712230725375,2,11.0,0.1926951149936863,5,147.0
320.0,8,166.0,1.434571446067046,2,50.0,0.028321508660075736,2,32.0,0.000937994730912055,1,72.0,0.21892092001212998,3,18.0,0.039054446011454344,8,172.0
325.0,7,196.0,1.9411090865513407,2,60.0,0.09507358128566594,2,42.0,0.0,2,79.0,0.16614840723636645,1,18.0,0.16434233439007986,7,199.0
330.0,6,219.0,3.106076931839961,1,58.0,0.22689192710878983,2,52.0,0.0,2,89.0,0.13912809755518313,1,23.0,0.28678767183835424,6,222.0
335.0,5,155.0,2.6183975346758928,1,63.0,0.014151595653268194,2,62.0,0.15720192257175858,0,14.0,0.1278368958077937,2,30.0,0.17830284503271754,5,169.0
340.0,8,190.0,3.0251812459959027,2,73.0,0.0,2,72.0,0.13131040777187789,1,5.0,0.3494526129204783,3,40.0,2.432384779172046e-06,8,190.0
345.0,5,142.0,2.8512545135748315,0,0.0,1.0,2,85.0,0.19873556815781837,1,10.0,0.19111721396367318,2,50.0,0.06111386786662884,5,145.0
350.0,6,170.0,3.4951334298135386,0,0.0,1.0,2,95.0,0.30775445370343424,2,18.0,0.12003547325110896,2,60.0,0.12315971596202618,6,173.0
355.0,6,154.0,3.4073746683578556,0,0.0,1.0,3,110.0,0.15583362407612497,2,28.0,0.1803056138378141,1,22.0,0.2562728141199138,6,160.0
360.0,10,197.0,2.3966440171404457,0,0.0,1.0,5,133.0,0.09694104261098568,3,39.0,0.0011835387103487987,2,31.0,0.0,10,203.0
365.0,10,247.0,1.151110871179271,0,0.0,1.0,5,155.0,0.0,3,54.0,0.09481426178136769,2,41.0,0.0,10,250.0
370.0,6,218.0,2.077982643449853,0,0.0,1.0,2,146.0,0.007399324188283375,2,35.0,0.20966460475092188,2,51.0,0.0,6,232.0
375.0,5,243.0,2.2447667481040505,0,0.0,1.0,2,145.0,0.07942550479944914,1,40.0,0.1611877975204937,2,61.0,0.0,5,246.0
